features,predicted_happiness_score
"[0.19662, 0.39394, 0.25899, 0.13015, 0.15781, 0.038659424399999996, 0.0774564828, 0.050922613799999995, 0.025590092999999998, 0.031028602199999998, 0.15518872360000002, 0.1020265206, 0.051271291, 0.062167671400000006, 0.0670758201, 0.0337075485, 0.0408712119, 0.016939022499999998, 0.0205389715, 0.024903996100000002]",4.104967629509267
"[0.07699, 1.15406, 0.0, 0.01397, 0.88213, 0.0059274601, 0.0888510794, 0.0, 0.0010755503, 0.0679151887, 1.3318544836000001, 0.0, 0.0161222182, 1.0180309478, 0.0, 0.0, 0.0, 0.0001951609, 0.0123233561, 0.7781533369]",5.279335960645129
"[0.1643, 0.38227, 0.31268, 0.07112, 0.17344, 0.02699449, 0.062806961, 0.051373324000000005, 0.011685016000000001, 0.028496192000000004, 0.1461303529, 0.1195281836, 0.0271870424, 0.0663009088, 0.0977687824, 0.022237801600000003, 0.05423121920000001, 0.0050580544, 0.012335052800000001, 0.030081433600000002]",3.9854386934830526
"[0.4052, 1.22943, 0.15011, 0.11132, 0.57386, 0.16418704, 0.498165036, 0.060824572, 0.045106864, 0.23252807200000003, 1.5114981249000001, 0.1845497373, 0.1368601476, 0.7055206998000001, 0.0225330121, 0.0167102452, 0.08614212460000001, 0.0123921424, 0.0638820952, 0.32931529960000006]",5.770052870188214
"[0.44089, 1.09426, 0.12425, 0.10769, 0.34752, 0.1943839921, 0.4824482914, 0.0547805825, 0.0474794441, 0.1532180928, 1.1974049476, 0.135961805, 0.1178408594, 0.3802772352, 0.0154380625, 0.013380482499999999, 0.04317936, 0.011597136099999999, 0.0374244288, 0.1207701504]",4.97605959394188
"[0.64938, 1.32548, 0.34139, 0.48357, 0.87464, 0.42169438439999996, 0.8607402023999999, 0.2216918382, 0.3140206866, 0.5679737232, 1.7568972304, 0.45250561720000004, 0.6409623636, 1.1593178272, 0.11654713210000002, 0.1650859623, 0.2985933496, 0.2338399449, 0.4229496648, 0.7649951295999999]",6.861018841626526
"[0.067, 1.181, 0.0, 0.034, 0.999, 0.004489000000000001, 0.079127, 0.0, 0.0022780000000000005, 0.066933, 1.3947610000000001, 0.0, 0.040154, 1.179819, 0.0, 0.0, 0.0, 0.0011560000000000001, 0.033966, 0.998001]",5.452051414178437
"[0.153997123241425, 1.12843120098114, 0.0650196298956871, 0.0644911229610443, 0.617144227027893, 0.02371511396663464, 0.17377515872696184, 0.010012835958157969, 0.009931447410609832, 0.09503843558734841, 1.2733569753477378, 0.07337017905053943, 0.07277379533555359, 0.6964048012836626, 0.004227552271772128, 0.004193188946484349, 0.0401264892336135, 0.004159104940776535, 0.039800324229954484, 0.3808669969538555]",5.551022902699535
"[0.479131430387497, 1.32087934017181, 0.0988908112049103, 0.183248922228813, 0.695168316364288, 0.2295669275851689, 0.6328748076258125, 0.04738169582478859, 0.08780031822445837, 0.33307698977968936, 1.744722231292716, 0.13062282945339695, 0.24204971548078985, 0.9182334670276088, 0.009779392540765213, 0.01812163457163284, 0.06874575872921616, 0.033580167498021556, 0.1273888447413743, 0.4832589880767588]",6.228276336971343
"[0.575, 1.223, 0.171, 0.019, 0.564, 0.33062499999999995, 0.703225, 0.098325, 0.010924999999999999, 0.3242999999999999, 1.4957290000000003, 0.20913300000000004, 0.023237, 0.6897719999999999, 0.029241000000000003, 0.003249, 0.096444, 0.000361, 0.010715999999999998, 0.31809599999999993]",5.919802833831866
"[0.498, 0.912, 0.126, 0.087, 0.868, 0.248004, 0.454176, 0.062748, 0.043325999999999996, 0.432264, 0.831744, 0.114912, 0.079344, 0.791616, 0.015876, 0.010962, 0.109368, 0.007568999999999999, 0.075516, 0.753424]",5.791137302960343
"[0.349, 0.393, 0.175, 0.082, 0.397, 0.12180099999999998, 0.137157, 0.06107499999999999, 0.028617999999999998, 0.138553, 0.154449, 0.068775, 0.032226000000000005, 0.15602100000000002, 0.030624999999999996, 0.01435, 0.069475, 0.006724000000000001, 0.032554, 0.15760900000000003]",4.042434450163208
"[0.543, 1.233, 0.064, 0.034, 0.854, 0.294849, 0.6695190000000001, 0.034752000000000005, 0.018462000000000003, 0.463722, 1.5202890000000002, 0.07891200000000001, 0.04192200000000001, 1.052982, 0.004096, 0.0021760000000000004, 0.054656, 0.0011560000000000001, 0.029036000000000003, 0.729316]",6.093132148223842
"[0.604, 0.781, 0.179, 0.071, 0.608, 0.364816, 0.471724, 0.10811599999999999, 0.04288399999999999, 0.367232, 0.6099610000000001, 0.139799, 0.055451, 0.474848, 0.032041, 0.012708999999999998, 0.108832, 0.0050409999999999995, 0.043168, 0.369664]",5.645536282027777
